Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures,,,,
,,n <= 0 && m = 1,n <= m - 1,n <= 0 && m = 1,n <= m - 1,n <= m + n && n <= -1,n <= m + -1,n + n = (Z.succ m) && m + -2 = (Z.succ m) && -1 <= m + 5 && -1 <= (Z.succ -4) && m <= (Z.succ n),-1 + m = n,n <= m + n && n <= -1,n <= m + -1,n + n = (Z.succ m) && m + -2 = (Z.succ m) && -1 <= m + 5 && -1 <= (Z.succ -4) && m <= (Z.succ n),-1 + m = n
,,1 <= m && 0 = n,n = (Z.succ n) - 1,n <= 0 && 1 <= m,n = (Z.succ n) - 1,n <= m + m && n <= -1,n <= (Z.succ n) + -1,-2 + n = (Z.succ -3) && n + n = (Z.succ -2) && m + -2 = (Z.succ m) && (not m + m = n) && -1 <= m + 5 && -1 <= (Z.succ -4) && n + n = m,n <= (Z.succ n) + -1,n <= m + m && n <= -1,n <= (Z.succ n) + -1,-2 + n = (Z.succ -3) && n + n = (Z.succ -2) && m + -2 = (Z.succ m) && (not m + m = n) && -1 <= m + 5 && -1 <= (Z.succ -4) && n + n = m,n <= (Z.succ n) + -1
36,  Z.succ n <= m -> n <= m,m = n,m = n,m = n,m = n,n <= m,n <= m,-1 <= m && n <= -1,n = m,n <= m,n <= m,-1 <= m && n <= -1,n = m
,,0 <= m && 0 = n,n <= m,n <= m,n <= m,(Z.succ 5) + m = n && (Z.succ n) = n && -3 + n = -1,(Z.succ n) = n,n <= m,n <= m,(Z.succ 5) + m = n && (Z.succ n) = n && -3 + n = -1,(Z.succ n) = n,n <= m,n <= m
,,1 <= m && 1 = n,n = (Z.succ n),n = (Z.succ n),n = (Z.succ n),n + m + n = -1 && (Z.succ n) + m = m && (Z.succ 5) + m = n,n <= (Z.succ n),(Z.succ n) = n && m + m = n,(Z.succ n) = n,n + m + n = -1 && (Z.succ n) + m = m && (Z.succ 5) + m = n,n <= (Z.succ n),(Z.succ n) = n && m + m = n,(Z.succ n) = n
37,  m > Z.succ n -> Z.pred m > n,m <= (Z.pred m) && 1 <= m && 0 = n,,,,,n <= (Z.pred m) + -3,,,,n <= (Z.pred m) + -3,,
,,m = (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,(Z.pred m) + -1 = n,,,,(Z.pred m) + -1 = n,,
,,m <= (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,(Z.pred m) + -2 = n && true,,,,(Z.pred m) + -2 = n && true,,
38,  Z.succ n < m -> n < Z.pred m,m <= (Z.pred m) && 1 <= m && 0 = n,,,,,,,,,,,
,,m = (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,,,,,,,
